//==================================================
// wolfvill
//==================================================
wolfvill	mapflag	town
gw_fild01	mapflag	nomemo
gw_fild02	mapflag	nomemo
oz_dun01	mapflag	nomemo
oz_dun02	mapflag	nomemo
ra_fild10	mapflag	nomemo
ra_fild11	mapflag	nomemo
gw_fild01	mapflag	noicewall
gw_fild02	mapflag	noicewall
oz_dun01	mapflag	noicewall
oz_dun02	mapflag	noicewall
ra_fild10	mapflag	noicewall
ra_fild11	mapflag	noicewall

gw_fild01,41,103,0	warp	huiwolfField1	1,1,wolfvill,269,28
wolfvill,274,25,0	warp	huiwolfField2	1,1,gw_fild01,45,103
ra_fild11,20,292,0	warp	huiwolfField3	1,1,ra_fild10,380,294
ra_fild10,382,294,0	warp	huiwolfField4	1,1,ra_fild11,25,292
ra_fild10,177,174,0	warp	huiwolfField5	1,1,oz_dun01,284,168
oz_dun01,23,187,0	warp	huiwolfField6	1,1,gw_fild01,268,337
gw_fild01,272,337,0	warp	huiwolfField7	1,1,oz_dun01,23,194
gw_fild01,136,8,0	warp	huiwolfField8	1,1,gw_fild02,122,390
gw_fild02,122,393,0	warp	huiwolfField9	1,1,gw_fild01,136,14

oz_dun01,284,164,0	script	# ǯT  1 ӤJ f	45,2,2,{
	warp "ra_fild10",177,170;
	end;
}

oz_dun01,112,31,0	script	# ǯT  2 ӤJ f	45,2,2,{
	warp "oz_dun02",147,257;
	end;
}


oz_dun02,147,261,0	script	# ǯT  2 ӥX f	45,2,2,{
	warp "oz_dun01",112,35;
	end;
}

gw_fild01,0,0	monster	"--ja--"	21302,50
gw_fild01,0,0	monster	"--ja--"	21303,70
gw_fild01,0,0	monster	"--ja--"	21304,35

gw_fild02,0,0	monster	"--ja--"	21303,15
gw_fild02,0,0	monster	"--ja--"	21304,60
gw_fild02,0,0	monster	"--ja--"	21305,25
gw_fild02,0,0	monster	"--ja--"	21306,35
gw_fild02,0,0	monster	"--ja--"	21307,35
oz_dun01,0,0	monster	"--ja--"	21296,70
oz_dun01,0,0	monster	"--ja--"	21295,65
oz_dun01,0,0	monster	"--ja--"	21297,10

oz_dun02,0,0	monster	"--ja--"	21297,25
oz_dun02,0,0	monster	"--ja--"	21298,35
